#No.: ETA value [eV], spt, dt
No.417: 0.136768, 52.199999999999875, 14.0
No.418: 0.136365, 52.39999999999988, 14.0
No.419: 0.135919, 52.59999999999987, 14.0
No.420: 0.13542, 52.79999999999987, 14.0
No.421: 0.134923, 52.99999999999987, 14.0
No.422: 0.134347, 53.199999999999875, 14.0
No.423: 0.133786, 53.39999999999987, 14.0
No.424: 0.133146, 53.599999999999866, 14.0
No.425: 0.132525, 53.79999999999987, 14.0
No.426: 0.131882, 53.99999999999987, 14.0
No.427: 0.131146, 54.19999999999987, 14.0
No.428: 0.130415, 54.399999999999864, 14.0
No.429: 0.129598, 54.599999999999866, 14.0
No.430: 0.128743, 54.79999999999987, 14.0
No.431: 0.127879, 54.999999999999865, 14.0
No.432: 0.126947, 55.19999999999986, 14.0
No.433: 0.12597, 55.399999999999864, 14.0
No.434: 0.124914, 55.599999999999866, 14.0
No.435: 0.123847, 55.79999999999986, 14.0
No.436: 0.122712, 55.99999999999986, 14.0
No.437: 0.121556, 56.19999999999986, 14.0
No.438: 0.120364, 56.399999999999864, 14.0
No.439: 0.119056, 56.59999999999986, 14.0
No.440: 0.117735, 56.799999999999855, 14.0
No.441: 0.116398, 56.99999999999986, 14.0
No.442: 0.114944, 57.19999999999986, 14.0
No.443: 0.113425, 57.39999999999986, 14.0
No.444: 0.111913, 57.59999999999985, 14.0
No.445: 0.110291, 57.799999999999855, 14.0
No.446: 0.108571, 57.99999999999986, 14.0
No.447: 0.106838, 58.199999999999854, 14.0
No.448: 0.105299, 58.39999999999985, 14.0
No.449: 0.103872, 58.59999999999985, 14.0
No.450: 0.102635, 58.799999999999855, 14.0
No.451: 0.101821, 58.99999999999985, 14.0
No.452: 0.101383, 59.19999999999985, 14.0
No.453: 0.101259, 59.39999999999985, 14.0
No.454: 0.10124, 59.59999999999985, 14.0
No.455: 0.101393, 59.79999999999985, 14.0
No.456: 0.101701, 59.999999999999844, 14.0
No.457: 0.10221, 60.19999999999985, 14.0
No.458: 0.102838, 60.39999999999985, 14.0
No.459: 0.103647, 60.599999999999845, 14.0
No.460: 0.104618, 60.79999999999984, 14.0
No.461: 0.105964, 60.999999999999844, 14.0
No.462: 0.107594, 61.19999999999985, 14.0
No.463: 0.109338, 61.39999999999984, 14.0
No.464: 0.11138, 61.59999999999984, 14.0
No.465: 0.113494, 61.79999999999984, 14.0
No.466: 0.116069, 61.999999999999844, 14.0
No.467: 0.11874, 62.19999999999984, 14.0
No.468: 0.121731, 62.399999999999835, 14.0
No.469: 0.125233, 62.59999999999984, 14.0
No.470: 0.129064, 62.79999999999984, 14.0
No.471: 0.133215, 62.99999999999984, 14.0
No.472: 0.137469, 63.19999999999983, 14.0
No.473: 0.141976, 63.399999999999835, 14.0
No.474: 0.14654, 63.59999999999984, 14.0
No.475: 0.151234, 63.799999999999834, 14.0
No.476: 0.156144, 63.99999999999983, 14.0
No.477: 0.161195, 64.19999999999983, 14.0
No.478: 0.166228, 64.39999999999984, 14.0
No.479: 0.171528, 64.59999999999982, 14.0
No.480: 0.176982, 64.79999999999983, 14.0

No.481: 0.176982, 17.0, 15.0
No.482: 0.176982, 17.2, 15.0
No.483: 0.176982, 17.4, 15.0
No.484: 0.176982, 17.599999999999998, 15.0
No.485: 0.176982, 17.799999999999997, 15.0
No.486: 0.176982, 17.999999999999996, 15.0
No.487: 0.176982, 18.199999999999996, 15.0
No.488: 0.176982, 18.399999999999995, 15.0
No.489: 0.172217, 18.599999999999994, 15.0
No.490: 0.171584, 18.799999999999994, 15.0
No.491: 0.170873, 18.999999999999993, 15.0
No.492: 0.170873, 19.199999999999992, 15.0
No.493: 0.169496, 19.39999999999999, 15.0
No.494: 0.168811, 19.59999999999999, 15.0
No.495: 0.168103, 19.79999999999999, 15.0
No.496: 0.167426, 19.99999999999999, 15.0
No.497: 0.166741, 20.19999999999999, 15.0
No.498: 0.166029, 20.399999999999988, 15.0
No.499: 0.16534, 20.599999999999987, 15.0
No.500: 0.164649, 20.799999999999986, 15.0
No.501: 0.163985, 20.999999999999986, 15.0
No.502: 0.16328, 21.199999999999985, 15.0
No.503: 0.162597, 21.399999999999984, 15.0
No.504: 0.16194, 21.599999999999984, 15.0
No.505: 0.161214, 21.799999999999983, 15.0
No.506: 0.160529, 21.999999999999982, 15.0
No.507: 0.159857, 22.19999999999998, 15.0
No.508: 0.159184, 22.39999999999998, 15.0
No.509: 0.158442, 22.59999999999998, 15.0
No.510: 0.157791, 22.79999999999998, 15.0
No.511: 0.157143, 22.99999999999998, 15.0
No.512: 0.156458, 23.199999999999978, 15.0
No.513: 0.155746, 23.399999999999977, 15.0
No.514: 0.155047, 23.599999999999977, 15.0
No.515: 0.154416, 23.799999999999976, 15.0
No.516: 0.153729, 23.999999999999975, 15.0
No.517: 0.153046, 24.199999999999974, 15.0
No.518: 0.15238, 24.399999999999974, 15.0
No.519: 0.151713, 24.599999999999973, 15.0
No.520: 0.151023, 24.799999999999972, 15.0
No.521: 0.150364, 24.99999999999997, 15.0
No.522: 0.149721, 25.19999999999997, 15.0
No.523: 0.149056, 25.39999999999997, 15.0
No.524: 0.148398, 25.59999999999997, 15.0
No.525: 0.147719, 25.79999999999997, 15.0
No.526: 0.14709, 25.999999999999968, 15.0
No.527: 0.146403, 26.199999999999967, 15.0
No.528: 0.145783, 26.399999999999967, 15.0
No.529: 0.145149, 26.599999999999966, 15.0
No.530: 0.144493, 26.799999999999965, 15.0
No.531: 0.143867, 26.999999999999964, 15.0
No.532: 0.14324, 27.199999999999964, 15.0
No.533: 0.14261, 27.399999999999963, 15.0
No.534: 0.142002, 27.599999999999962, 15.0
