#No.: ETA [eV], sigma_den, r0_den, simga_s, r0_s, sigma_p, r0_p, sigma_d, r0_d, stos(y1s), stos(y2s), stos(y3s), stop(y1p), stop(y2p), stop(y3p), stod(y1d), stod(y2d), stod(y3d), sdt, sdt3kbt 
#| iter | 1/target | x0 | x1 | x2 | x3 | x4 | x5 | x6 | x7 | x8 | x9 | x10 | x11 | x12 | x13 | x14 | x15 | x16 | SDT | SDT(3kbT) |
No.65: 0.627753, 4.5, 24.9, 8.3, 6.0, 7.2, 4.4, 8.4, 3.6, 0.82, 2.86, 5.51, 1.25, 1.94, 5.49, 2.96, 6.31, 8.29, 0.491088, 2.58519
No.66: 9.999, 10.9, 25.2, 5.1, 4.8, 4.6, 4.4, 8.5, 3.6, 0.80, 1.41, 5.52, 1.16, 2.80, 4.45, 1.99, 6.77, 11.76, 9.999, 9.999
No.67: 9.999, 17.0, 17.9, 6.4, 3.7, 7.5, 6.5, 4.8, 7.6, 1.11, 2.68, 4.34, 1.23, 2.20, 4.95, 2.93, 4.80, 10.53, 9.999, 9.999
No.68: 9.999, 13.3, 4.6, 7.7, 3.4, 8.4, 6.8, 9.1, 4.5, 0.71, 2.01, 5.06, 0.90, 2.46, 4.93, 3.17, 6.60, 14.10, 9.999, 9.999
No.69: 0.294161, 6.9, 24.1, 8.7, 4.9, 8.0, 5.6, 4.9, 4.6, 0.91, 1.70, 5.56, 1.11, 2.07, 3.61, 1.97, 5.27, 9.52, 0.194845, 2.58519
No.70: 0.348821, 2.4, 21.9, 5.5, 4.6, 9.1, 4.8, 9.0, 7.3, 0.82, 2.48, 5.98, 0.82, 2.74, 4.85, 3.50, 6.49, 13.04, 0.283152, 2.58519
No.71: 9.999, 15.5, 4.5, 8.9, 5.6, 7.7, 7.5, 7.5, 4.4, 0.89, 1.92, 6.56, 0.72, 2.75, 5.76, 2.44, 4.32, 13.54, 9.999, 9.999
No.72: 0.744529, 16.9, 12.6, 6.6, 6.2, 9.3, 4.2, 6.5, 5.5, 0.98, 2.64, 6.99, 0.95, 1.66, 3.51, 2.49, 4.20, 13.53, 0.559166, 2.58519
No.73: 9.999, 9.4, 13.6, 9.5, 3.3, 5.4, 7.3, 7.5, 4.9, 0.59, 1.75, 4.22, 1.22, 1.41, 6.34, 2.12, 6.61, 10.99, 9.999, 9.999
No.74: 9.999, 4.2, 7.9, 5.9, 6.0, 6.5, 5.6, 5.8, 7.2, 0.85, 1.86, 6.63, 1.19, 2.51, 5.01, 3.42, 5.80, 11.06, 9.999, 9.999
No.75: 0.363022, 12.8, 7.5, 6.2, 3.1, 9.0, 5.5, 8.4, 4.6, 1.00, 2.07, 3.68, 1.17, 2.58, 5.47, 2.23, 6.34, 13.56, 0.351071, 2.58519
No.76: 9.999, 7.8, 5.8, 8.0, 4.6, 5.7, 4.3, 5.4, 7.1, 1.27, 2.85, 4.16, 0.65, 1.87, 6.04, 2.99, 6.56, 7.83, 9.999, 9.999
No.77: 0.35672, 7.3, 23.2, 6.4, 4.9, 9.4, 5.2, 6.5, 6.9, 1.03, 2.01, 5.30, 1.15, 2.16, 5.47, 3.34, 4.10, 12.64, 0.244739, 2.58519
No.78: 9.999, 12.4, 13.2, 8.3, 4.7, 8.1, 7.4, 8.9, 4.3, 0.77, 1.49, 3.75, 0.90, 1.92, 4.06, 3.62, 6.63, 13.20, 9.999, 9.999
No.79: 9.999, 16.7, 8.7, 6.2, 4.7, 7.2, 5.2, 8.1, 6.4, 1.06, 2.28, 5.73, 0.65, 1.72, 5.14, 1.95, 5.34, 12.65, 9.999, 9.999
No.80: 0.598798, 7.4, 18.8, 7.1, 2.9, 5.9, 5.8, 8.4, 3.8, 0.97, 2.67, 6.78, 1.00, 2.96, 4.90, 3.24, 3.83, 14.71, 0.457375, 2.58519
No.81: 9.999, 11.8, 27.2, 9.5, 6.2, 5.2, 3.9, 4.8, 3.6, 1.26, 1.53, 3.51, 0.78, 2.86, 6.13, 2.96, 7.25, 15.91, 9.999, 9.999
No.82: 9.999, 14.7, 20.7, 6.9, 3.8, 4.6, 7.2, 8.5, 4.9, 1.14, 1.90, 5.08, 0.83, 1.95, 4.19, 3.59, 6.79, 7.99, 9.999, 9.999
No.83: 9.999, 6.7, 27.1, 6.8, 4.9, 9.6, 6.8, 6.2, 3.9, 0.72, 2.23, 6.93, 0.95, 2.91, 6.60, 2.79, 5.27, 14.22, 9.999, 9.999
No.84: 0.409342, 8.3, 23.7, 4.5, 3.9, 4.7, 4.8, 6.3, 7.5, 0.92, 1.83, 6.77, 0.71, 2.77, 6.86, 3.69, 3.83, 8.28, 0.28299, 2.58519
No.85: 9.999, 9.6, 19.6, 5.0, 3.6, 9.5, 4.8, 9.2, 7.3, 1.23, 1.63, 3.65, 1.11, 2.75, 6.43, 3.55, 5.31, 11.79, 9.999, 9.999
No.86: 0.287337, 12.3, 8.0, 5.2, 4.1, 8.2, 5.3, 5.2, 5.6, 1.04, 2.19, 4.14, 0.96, 1.62, 5.42, 2.06, 6.22, 14.03, 0.194457, 2.58519
No.87: 9.999, 12.0, 8.1, 4.7, 4.0, 8.8, 5.0, 4.6, 5.7, 1.10, 2.31, 3.62, 0.93, 1.38, 5.57, 1.74, 6.02, 13.85, 9.999, 9.999
No.88: 0.266442, 12.4, 8.0, 5.2, 4.3, 7.8, 5.4, 5.0, 5.8, 1.03, 2.16, 4.44, 0.95, 1.57, 5.34, 2.17, 6.28, 14.19, 0.18873, 2.58519
No.89: 0.254111, 12.1, 8.0, 5.3, 4.4, 7.9, 5.5, 5.1, 6.1, 0.93, 2.09, 4.25, 0.82, 1.38, 5.33, 2.09, 6.15, 13.85, 0.181323, 2.58519
No.90: 0.275636, 12.1, 8.3, 5.0, 4.3, 7.5, 5.4, 5.2, 5.7, 1.00, 2.04, 4.24, 0.81, 1.38, 5.24, 1.85, 6.08, 13.86, 0.191449, 2.58519
No.91: 9.999, 12.3, 8.2, 4.9, 3.9, 7.9, 5.6, 5.0, 6.0, 0.78, 2.30, 4.53, 0.73, 1.38, 5.22, 2.23, 6.49, 13.70, 9.999, 9.999
No.92: 0.255281, 12.2, 8.1, 5.3, 4.5, 7.8, 5.3, 5.1, 5.8, 1.09, 2.01, 4.13, 0.94, 1.48, 5.38, 1.93, 5.99, 14.11, 0.192735, 2.58519
